student_program_id,student_id,program_id,program_status,program_start,grad_date,program_end
347,6850,1,Graduated,01/17/19,10/15/22,12/09/21
348,6875,1,Graduated,08/13/18,10/24/20,06/19/20
349,6897,1,Terminated,08/01/20,,
350,6900,1,Graduated,08/15/16,10/24/20,06/19/20
351,6921,1,In Process,08/01/21,,
352,6942,1,Terminated,08/01/19,,
353,6943,1,Dropped,08/14/17,,
354,6966,1,Graduated,08/14/17,10/24/20,06/19/20
355,6995,1,Terminated,08/01/20,,
356,7003,1,Terminated,08/14/17,,
357,7005,1,Terminated,08/14/17,,
358,7007,1,Terminated,08/14/17,,
359,7020,1,Graduated,08/14/17,,12/09/22
360,7051,1,Graduated,08/14/17,10/23/21,05/20/21
361,7085,1,In Process,08/01/19,,
362,7117,1,Graduated,06/01/19,,12/09/22
363,7144,1,Graduated,08/19/19,10/15/22,05/20/22
364,7164,1,Graduated,08/19/19,10/23/21,05/20/21
365,7183,1,Graduated,08/13/19,10/23/21,05/20/21
366,7203,1,Graduated,08/19/19,,12/09/22
367,7233,1,Graduated,08/17/20,10/15/22,05/20/22
368,7251,1,Dropped,08/01/18,,
369,7266,1,Terminated,08/14/17,,
370,7291,1,In Process,08/01/22,,
371,7299,1,In Process,08/01/21,,
372,7318,1,In Process,01/01/21,,
373,7338,1,Dropped,08/01/18,,
374,7355,1,Terminated,08/01/18,,
375,7359,1,Dropped,08/01/22,,
376,7363,1,In Process,08/01/21,,
377,7381,1,In Process,08/01/21,,
378,7400,1,Dropped,08/01/18,,
379,7411,1,In Process,08/01/18,,
380,7446,1,Graduated,08/17/20,10/15/22,05/20/22
381,7463,1,Graduated,08/17/20,10/15/22,05/20/22
382,7482,1,In Process,08/01/21,,
383,7499,1,In Process,08/13/18,,
384,7542,1,In Process,08/01/21,,
385,7560,1,In Process,08/13/18,,
386,7598,1,In Process,08/01/21,,
387,7617,1,In Process,01/01/22,,
388,7631,1,Dropped,08/01/18,,
389,7635,1,Graduated,08/13/18,10/23/21,05/20/21
390,7663,1,In Process,08/01/20,,
391,7684,1,Graduated,08/17/20,10/15/22,05/20/22
392,7703,1,Graduated,08/17/20,10/15/22,05/20/22
393,7722,1,In Process,01/01/21,,
394,7743,1,Graduated,08/13/18,10/23/21,07/23/21
395,7770,1,Graduated,08/13/18,10/15/22,05/20/22
396,7793,1,Terminated,08/01/18,,
397,7801,1,In Process,08/01/18,,
398,7837,1,In Process,01/01/19,,
399,7863,1,In Process,08/01/21,,
400,7878,1,In Process,08/01/19,,
401,7911,1,In Process,08/15/22,,
402,7913,1,In Process,08/16/21,,
403,7930,1,In Process,08/01/21,,
404,7947,1,In Process,01/17/23,,
405,7952,1,In Process,08/01/21,,
406,7972,1,In Process,08/01/19,,
407,8006,1,In Process,08/01/20,,
408,8033,1,In Process,08/15/22,,
409,8044,1,In Process,08/01/20,,
410,8064,1,Terminated,08/01/20,,
411,8071,1,In Process,08/15/22,,
412,8082,1,In Process,08/15/22,,
413,8092,1,In Process,01/17/23,,
414,8096,1,In Process,08/01/22,,
415,8109,1,In Process,08/15/22,,
416,8121,1,In Process,08/01/21,,
417,8133,1,In Process,08/01/21,,
418,8154,1,Transferred,01/01/22,,
419,8160,1,In Process,06/24/22,,
420,8170,1,In Process,08/01/21,,
421,8191,1,In Process,08/15/22,,
422,8200,1,In Process,08/01/21,,
423,8220,1,In Process,08/01/22,,
424,8232,1,Dropped,08/01/22,,
425,8235,1,In Process,08/01/22,,
426,8244,1,In Process,08/01/22,,
427,8254,1,In Process,08/01/22,,
428,8266,1,In Process,08/01/22,,
429,8273,1,Graduated,08/28/00,06/08/03,05/10/03
430,8304,1,Dropped,08/23/00,,
431,8311,1,Dropped,08/18/03,,
432,8322,1,Graduated,08/28/00,06/02/02,05/10/02
433,8340,1,Graduated,08/13/07,06/14/14,05/19/14
434,8368,1,Graduated,08/13/07,06/15/13,05/13/13
435,8394,1,Graduated,12/14/99,06/08/03,05/10/03
436,8423,1,Dropped,08/19/13,,
