course_id,course_code,course_title,course_credits
123,CMPS3252,ALGORITHMS,3
124,EDUC3101,SOCIAL CONTEXT OF SCHOOLING,3
125,CMPS2212,GUI PROGRAMMING,3
126,EDUC2224,TEACHING METHODS FOR SECONDARY LEVEL,3
127,EDUC3453,CLASSROOM ASSESSMENT,3
128,EDUC4153,PROFESSIONALISM IN EDUCATION,3
129,EDUC3451,PHILOSOPHY OF EDUCATION,3
130,EDUC3302,INSTRUCTIONAL TECHNIQUES,3
131,PHYS1015L,GENERAL PHYSICS I LAB,1
132,CMPS2992,PROJECT,3
133,MATH2251,INTRO TO DISCRETE MATH,3
134,MATH4352,NUMERICAL ANALYSIS,4
135,CMPS2252,OPERATING SYSTEMS,3
136,EDUC3252,INTRODUCTION TO GUIDANCE & COUNSELLING,3
137,BLD109A,MASONRY THEORY,1
138,BLD115,GEOMETRY,1
139,BLD109C,PLUMBING (THEORY),3
140,BLD109F,INDUSTRIAL ORIENTATION,1
141,BLD110B,CARPENTRY & JOINERY (THEORY),1
142,BLD102,ELEMENTARY SURVEYING I,2
143,BLD109B,CARPENTRY & JOINERY (THEORY),1
144,BLD108,BUILDING CONSTRUCTION & DRAWING,4
145,BLD110A,MASONRY (THEORY),1
146,BLD116,GEOMETRY,1
147,BLD103,PROPERTIES OF MATERIALS 1,2
148,PHYS141,PHYSICS FOR BUILDING & ENGINEERING,2
149,BLD107,BUILDING CONSTRUCTION AND DRAWING 1,4
150,CMPS2232,OBJECT ORIENTED SYSTEM DEVELOPMENT,3
151,EDUC4256,MEASUREMENT AND EVALUATION,3
152,CMPS4252,DIGITAL LOGIC AND DESIGN,3
153,CMPS4232,SYSTEMS ADMINISTRATION,3
154,CMPS413,ADVANCED WEB TECHNOLOGIES,3
155,MGMT304,DYNAMICS OF ORG. BEHAVIOUR,3
156,MGMT285,BUSINESS ETHICS,3
157,ECON101,INTRODUCTION TO ECONOMICS,3
158,MATH207,STATISTICS,3
159,EDUC306,SOCIAL CONTEXT OF SCHOOLING,3
160,MATH101,ALGEBRA 1,3
161,CMPS140,INTRODUCTION TO COMPUTER STUDIES,3
162,SPAN102,LEVEL 2 LOWER-INTERMEDIATE SPANISH,3
163,MATH202,STATISTICS 2,3
164,PHYS241L,GENERAL PHYSICS LAB,1
165,MATH3025,BUSINESS STATISTICS II,3
166,MATH324,FUNDAMENTAL CONCEPTS OF MATH,3
167,MATH102,COMPLEX NUMBERS & VECTORS,3
168,SPAN101,LEVEL 1 BEGINNING SPANISH,3
169,PSYC342,ADOLESCENT PSYCHOLOGY,3
170,CMPS4175,ROUTING AND SWITCHING,3
171,PLAS0014,SPANISH PLACEMENT EXAM,0
172,ENGL1035,THE COMPOSING PROCESS,3
173,HIST1014,INTRODUCTION TO BELIZEAN HISTORY,3
174,MATH208,INTRO TO DISCRETE MATHEMATICS,3
175,NRMP1014,ENVIRONMENTAL CONSERVATION & DEVELOPMENT,3
176,MGMT466,PUBLIC ADMINISTRATION & POLICY,3
177,MGMT475,PRODUCTION & OPERATIONS MANAGEMENT,3
178,FNAN332,FINANCIAL MANAGEMENT,3
179,MATH340,BUSINESS CALCULUS,3
180,ECON433,MANAGERIAL ECONOMICS,3
181,ACTG303,PRINCIPLES OF MANAGERIAL ACCOUNTING,3
182,MGMT320,INTERNATIONAL BUSINESS,3
183,MGMT398,SOCIO-ECONOMIC DEVELOPMENT,3
184,MATH339,FINITE MATH,3
185,MGMT373,HUMAN RESOURCE MANAGEMENT,3
186,FNAN221,PRINCIPLES OF FINANCE,3
187,MGMT411,SMALL BUSINESS MANAGEMENT,3
188,SPED3111,INTRODUCTION TO SPECIAL EDUCATION,3
189,CMPS2191,NETWORKING 1,3
190,EDUC3552,ADOLESCENT PSYCHOLOGY,3
191,SPAN1015,LEVEL 1 BEGINNERS SPANISH,3
192,EDUC222,TEACHING METHODS,3
193,SPAN201,LEVEL 3 INTERMEDIATE SPANISH,3
194,NRMP101,ENVIRON. CONSERV & DEVELOPMENT I,3
195,ENGL1025,COLLEGE ENGLISH II,3
196,SPAN202,LEVEL 4 HIGH-INTERMEDIATE SPANISH,3
197,ACTG1054,PRINCIPLES OF ACCOUNTING II,3
198,ENGL090,DEVELOPMENTAL ENGLISH,0
199,EDUC3141,INTRODUCTION TO CURRICULUM DEVELOPMENT,3
200,EDUC3403,PSYCHOLOGY OF LEARNING,3
201,EDUC3454,INSTRUCTIONAL TECHNOLOGY,3
202,FNAN2014,PRINCIPLES OF FINANCE,3
203,MKTG2015,PRINCIPLES OF MARKETING,3
204,ACTG1014,PRINCIPLES OF ACCOUNTING I,3
205,MATH2151,STATISTICS I,3
206,CMPS1211,HARDWARE FUNDAMENTALS,3
207,CMPS2242,SYSTEMS PROGRAMMING & COMPUTER ORGANIZATION,3
208,MATH3282,ALGORITHMS AND COMPUTATION,4
209,EPHY2153,PHYSICAL EDUCATION FOR THE PRIMARY GRADES,3
210,CMPS1192,NETWORKING FUNDAMENTALS,3
211,CMPS1171,INTRODUCTION TO DATABASES,3
212,BCOM2014,BUSINESS COMMUNICATION,3
213,ECON2014,PRINCIPLES OF ECONOMICS (MACRO),3
214,ECON2054,PRINCIPLES OF ECONOMICS (MICRO),3
215,CMPS1024,COMPUTER BUSINESS APPLICATIONS,3
216,SPAN2025,LEVEL 4 HIGH-INTERMEDIATE SPANISH,3
217,MATH3201,FUNDAMENTAL CONCEPTS OF MATH,3
218,CMPS4081,PRACTICAL ELECTRONICS,3
219,CRTH1014,CRITICAL THINKING,3
220,MATH0014,DEVELOPMENTAL MATH,0
221,CMPS1191,NETWORKING FUNDAMENTALS,3
222,PLAM0014,MATH PLACEMENT TEST,0
223,PLAE0014,ENGLISH PLACEMENT,0
224,CHEM0016,DEVELOPMENTAL CHEMISTRY,0
225,BIOL1015,GENERAL BIOLOGY I,3
226,ALHL2012,HUMAN ANATOMY AND PHYSIOLOGY I,3
227,BIOL3402,GENERAL MICROBIOLOGY,3
228,CHEM1032,ORGANIC AND BIOCHEMISTRY,3
229,CHEM1015,GENERAL CHEMISTRY I,3
230,MATH1014,INTERMEDIATE ALGEBRA,3
231,CHEM1015L,GENERAL CHEMISTRY I LAB,1
232,BIOL0016,DEVELOPMENTAL BIOLOGY,0
233,BIOL1015L,GENERAL BIOLOGY I LAB,1
234,BIOL3402L,GENERAL MICROBIOLOGY LAB,1
235,ECON1014,INTRODUCTION TO ECONOMICS,3
236,SERV0001,UB SERVICE,0
237,MATH2302,MATH MODELING,3
238,MGMT2055,BUSINESS ETHICS,3
239,SOCL121,INTRODUCTION TO SOCIOLOGY,3
240,STSK101,STUDY SKILLS,1
241,EDUC250,METHODS OF TEACHING,3
